rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
"Deluxe Room, 2 Twin Beds (2 Twin Beds)",room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Walker King,room,standard,private bathroom,,,not club,,no balcony,,
Superior Room (Land View) (1 Double Bed),room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,land view,
"Premium, Guest room, 1 King, High floor Premium, Guest room, 1 King, High floor",room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"standard loft, 1 queen bed, city view",apartment,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Double room King bed - De Luxe - Bay view Double room King bed - De Luxe - Bay view bay,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,bay view,
Apartments Basic rate with breakfast,apartment,,private bathroom,,,not club,,no balcony,,
"Deluxe Guest room, 2 Twin Room Only",room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Deluxe Room, 1 King Bed with Sofa bed",room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Superior Apartment, 1 Bedroom, Balcony, Sea View (2 Adults + 2 Children) (4 Twin Beds)",apartment,superior,private bathroom,,quadruple,not club,1 bedroom,balcony,sea view,
1 King Bed 1 King Bed Room Only (1 Double),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"classic room, multiple beds, non smoking - Room Only",room,classic,private bathroom,,,not club,,no balcony,,
One Bedroom Residence 1 Bedroom Residence,room,standard,private bathroom,,,not club,1 bedroom,no balcony,,
"Premium Twin Room, Ocean View (2 Twin Beds)",room,premium,private bathroom,twin/twin-or-double,double,not club,,no balcony,ocean view,
Luxe (twin),room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Deluxe Deluxe Twin,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Executive Room, 2 Twin Beds (Nile View) (2 Twin Beds)",room,executive,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Executive Two Queen Room with Sea View Executive Room, 2 Queen Beds, Non Smoking, Sea View (2 Double)",room,executive,private bathroom,,quadruple,not club,,no balcony,sea view,
"junior suite, 1 queen bed, non smoking",junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Standard Quadruple Room, 1 Bedroom, Ensuite, City View",room,standard,private bathroom,,quadruple,not club,1 bedroom,no balcony,city view,
Chelsea Grand Suite,suite,grand,private bathroom,,,not club,,no balcony,,
Ocean Deluxe Queen Double Breakfast,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double room King bed - Sea View Double room King bed - Sea View sea,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Executive Suite SUITE EXECUTIVE,suite,executive,private bathroom,,,not club,,no balcony,,
"Apartment, 1 Bedroom (Select 3 Adults) (2 Twin Beds and 1 Double Sofa Bed)",apartment,,private bathroom,twin/twin-or-double,double,not club,1 bedroom,no balcony,,
triple room min (1 Double 1 Sofa),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
ONE BEDROOM SUITE WITH BALCONY Breakfast,suite,,private bathroom,,,not club,1 bedroom,balcony,,
Suite - Balcony - Ocean Front - Pool Suite - Balcony - Ocean Front - Pool ocean,suite,,private bathroom,,,not club,,balcony,ocean front,
superior double room,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Classic Room,room,classic,private bathroom,,,not club,,no balcony,,
4-person Family three-room (Building 1) Double bed Twin beds,dorm,,shared bathroom,double/double-or-twin,,not club,3 bedrooms,no balcony,,
"2 Single Beds with Family Room, No Smoking 2 Single Beds with Family Room, No Smoking",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Guest king accessible guest room,room,standard,private bathroom,,,not club,,no balcony,,
"Basic Apartment, 1 Bedroom, No Windows, Ground Floor (1 Double Bed and 1 Double Sofa Bed)",apartment,,private bathroom,,double,not club,1 bedroom,no balcony,,basement floor
3-Bedroom Deluxe Suite Breakfast,suite,deluxe,private bathroom,,,not club,3 bedrooms,no balcony,,
"Deluxe Twin Deluxe Room with View, 2 Twin Beds",room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,with view,
One Bedroom Suite Queen One Bedroom Suite Queen,suite,,private bathroom,,double,not club,1 bedroom,no balcony,,
Queen Panoramic with Terrace,room,standard,private bathroom,,double,not club,,no balcony,,
Twin room - Classic Twin room - Classic,room,classic,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Suite room double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Garden View 1 Bedroom Suite with Terrace non-smoking,suite,,private bathroom,,,not club,1 bedroom,no balcony,garden view,
"Family Family Room, 2 Twin Beds",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Twin/Double room - King - Superior Twin/Double room - King - Superior,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Single PREMIUM CITY VIEW,room,premium,private bathroom,,single,not club,,no balcony,city view,
"Deluxe, Guest room, 2 Twin Half Board",room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Deluxe  King Room with Ocean View non-smoking,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,ocean view,
Double Room Half Board,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
JUNIOR SUITE 1 BEDROOM SIDE SEA VIEW Half Board,junior-suite,,private bathroom,,,not club,1 bedroom,no balcony,partial-sea view,
Standard superior room double,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Family FAMILY ROOM CITY VIEW City,room,standard,private bathroom,,,not club,,no balcony,city view,
Triple room Triple room,room,standard,private bathroom,,triple,not club,,no balcony,,
Triple Family Apartment with 2 children All Inclusive,apartment,,private bathroom,,triple,not club,,no balcony,,
Deluxe Double Deluxe Sea View Sea,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
"Suite, Golf View (1 Double Bed)",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,golf view,
Junior Suite Junior Suite Panorama View,junior-suite,,private bathroom,,,not club,,no balcony,panoramic view,
Triple Triple,room,standard,private bathroom,,triple,not club,,no balcony,,
Standard Stadium View Centro Room - Twin Beds Stadium,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Standard City View Centro Room - Twin Beds City,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,city view,
Standard Studio (for 4) (4 Twin Beds),studio,standard,private bathroom,,quadruple,not club,,no balcony,,
"Family Quadruple Room, 1 Bedroom, Balcony (2 Twin Beds and 1 Twin Bunk Bed)",room,standard,private bathroom,bunk bed,quadruple,not club,1 bedroom,balcony,,
Deluxe Room with Terrace,room,deluxe,private bathroom,,,not club,,no balcony,,
Standard superior room with 2 twin beds twin,room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Suite - Home Suite - Home,suite,,private bathroom,,,not club,,no balcony,,
"Standard Twin Room, 2 Twin Beds",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Deluxe Twin/Double room - De Luxe - Garden View Garden,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
ONE BEDROOM DOWNTOWN VIEW,room,standard,private bathroom,,,not club,1 bedroom,no balcony,city view,
Premier double city view premier City,room,premier,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Historical Building Room,room,standard,private bathroom,,,not club,,no balcony,,
2 Twin Standard 2 Twin Standard,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Upper Floor 2-Bedroom Oceanfront Pavilion,room,standard,private bathroom,,,not club,2 bedrooms,no balcony,ocean front,
"executive, suite, 1 king, sofa bed, sea view, top floor (1 Double)",suite,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Guest Guest Room with Lounge Access - Twin Beds,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Club Club Room, 1 Twin Bed",room,standard,private bathroom,single bed,single,club,,no balcony,,
Centro Room with Queen Bed Centro Room with Queen Bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Suite DELUXE FAMILY SUITE,suite,deluxe,private bathroom,,,not club,,no balcony,,
"Standard Room, Ocean View KingBed Ocean",room,standard,private bathroom,double/double-or-twin,,not club,,no balcony,ocean view,
Superior Double or Twin Room (2 Twin Beds),room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Economic Room,room,economy,private bathroom,,,not club,,no balcony,,
Standard Standard Ocean View Ocean,room,standard,private bathroom,,,not club,,no balcony,ocean view,
Junior Suite JUNIOR SUITE STANDARD,junior-suite,standard,private bathroom,,,not club,,no balcony,,
1 KING BED FAMILY LAGOON BEACH,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior double apartment double,apartment,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
2-room superior apartment double (Main Building),apartment,superior,private bathroom,double/double-or-twin,double,not club,2 bedrooms,no balcony,,
Suite 2 bedrooms - Imperial Suite 2 bedrooms - Imperial,suite,royal,private bathroom,,,not club,2 bedrooms,no balcony,,
Executive Suite with Executive Lounge Access Room Only,suite,,private bathroom,,,not club,,no balcony,,
GUEST ROOM(CLASSIC ROOM) Half Board,room,classic,private bathroom,,,not club,,no balcony,,
1-room superior room with 1 double bed double,room,superior,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
1-Bedroom Spacious Suite Room Only,suite,,private bathroom,,,not club,1 bedroom,no balcony,,
DELUXE Room Only,room,deluxe,private bathroom,,,not club,,no balcony,,
"Suite, 2 Bedrooms, Balcony (3 adults) (1 King Bed and 1 Double Bed)",suite,,private bathroom,double/double-or-twin,,not club,2 bedrooms,balcony,,
"Standard Apartment, 1 Bedroom, Balcony, Sea View (2 Adults and 1 Child) (2 Twin Beds and 1 Large Twin Sofa Bed)",apartment,standard,private bathroom,twin/twin-or-double,double,not club,1 bedroom,balcony,sea view,
FAMILY ROOM WİTH 2 BENDROOM POOL VİEW Single bed(4 Amount),room,standard,private bathroom,single bed,single,not club,,no balcony,pool view,
1 King-1 Queen Premium Room 1 King/1 Queen Premium Rm (1 Double),room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Twin room - Executive - Burj Khalifa view Twin room - Executive - Burj Khalifa view,room,executive,private bathroom,twin/twin-or-double,double,not club,,no balcony,burj-khalifa view,
Double room - Superior - Pool Double room - Superior - Pool pool,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Deluxe Family Connection Sea view Sea,room,deluxe,private bathroom,,,not club,,no balcony,sea view,
1 King Classic Club Lounge Access Ocean View,room,classic,private bathroom,double/double-or-twin,double,club,,no balcony,ocean view,
Palm Manor House Grand Suite,suite,grand,private bathroom,,,not club,,no balcony,,
Double Room - With Breakfast Premium Sea View-Bed & Breakfast-Refundable Rate,room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Luxury Suite SUITE LUXURY SEA VIEW Sea,suite,luxury,private bathroom,,,not club,,no balcony,sea view,
Two Bedroom Premium Apartment with Burj Khalifa and Creek View Breakfast,apartment,premium,private bathroom,,,not club,2 bedrooms,no balcony,water view,
"Signature Room, Sea View (1 Queen Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
One-Bedroom Residence,room,standard,private bathroom,,,not club,1 bedroom,no balcony,,
"Superior Room, 1 Double Bed with Sofa bed",room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Executive Suite, 1 King Bed",suite,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
ANI TWIN (1 Twin),room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Twin room - Glamping Twin room - Glamping,tent,,shared bathroom,twin/twin-or-double,,not club,,no balcony,,
4-bed luxu apartment with 1 double bed with mountain views double,apartment,,private bathroom,,,not club,,no balcony,mountain view,
Deluxe Suites DELUXE CLUB SUITES,suite,deluxe,private bathroom,,,club,,no balcony,,
"Executive Executive Room, 1 King Bed",room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard Room with Balcony Large Double(1 Amount),room,standard,private bathroom,double/double-or-twin,double,not club,,balcony,,
Double room - Bunk bed - Mirage - Superior - Panoramic Sea View Double room - Bunk bed - Mirage - Superior - Panoramic Sea View sea,room,superior,private bathroom,bunk bed,double,not club,,no balcony,sea view,
Royal Suite (1 King Bed),suite,royal,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Garden Suite, 1 Bedroom Suite Garden Suite, 1 Bedroom Suite",suite,,private bathroom,,,not club,1 bedroom,no balcony,garden view,
DELUXE SEA VIEW Breakfast,room,deluxe,private bathroom,,,not club,,no balcony,sea view,
JUNIOR SUITE Basic rate with breakfast,junior-suite,,private bathroom,,,not club,,no balcony,,
Executive Room with Queen Bed Executive Room with Queen Bed,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Terrace Pavilion,room,standard,private bathroom,,,not club,,no balcony,,
Ground Floor 2-Bedroom Ocean View Pavilion with Private Pool,room,standard,private bathroom,,,not club,2 bedrooms,no balcony,ocean view,basement floor
Standard Double Full Board,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
1 King Premium Waterfront View,room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,water view,
"King Suite, Land View (1 King Bed and 2 Large Twin Beds)",suite,,private bathroom,twin/twin-or-double,double,not club,,no balcony,land view,
Deluxe Deluxe Family Room,room,deluxe,private bathroom,,,not club,,no balcony,,
1 KING CLUB ACCESS DELUXE WITH BALCONY 1 KING CLUB ACCESS DELUXE WITH BALCONY,room,deluxe,private bathroom,double/double-or-twin,double,club,,balcony,,
Gansevoort Suite,suite,,private bathroom,,,not club,,no balcony,,
"One Bedroom Luxury Suite Luxury Pool One Bedroom Suite, 1 King Bed and 1 Twin Sofa Bed",suite,luxury,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
"Double standard ""Underground"" double",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Sea Turtle Deluxe Room Room Only,room,deluxe,private bathroom,,,not club,,no balcony,,
Standard Double Standard,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Comfort Double Room, Balcony (1 Double Bed)",room,comfort,private bathroom,double/double-or-twin,double,not club,,balcony,,
Standard Double or Twin Room,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
ROYAL SUITE WITH PARTIAL KAABA VIEW,suite,royal,private bathroom,,,not club,,no balcony,,
Superior Room - Garden View Breakfast,room,superior,private bathroom,,,not club,,no balcony,garden view,
Standard Room (Burj Khalifa View) (2 Double Beds),room,standard,private bathroom,twin/twin-or-double,quadruple,not club,,no balcony,burj-khalifa view,
Standard superior triple room double,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Classic Triple Room (3 Single),room,classic,private bathroom,,triple,not club,,no balcony,,
Standard 2 Single Beds Standard With Sofa Bed,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"1 double bed, non-smoking, family room, sofabed (1 Double)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Economy double or twin room double,room,economy,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard King Room,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
IZZZI Superior Non refundable without breakfast,room,superior,private bathroom,,,not club,,no balcony,,
Suite room with 1 double bed (attic),suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,attic floor
"Executive Room, 1 Double Bed",room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
1 King Smoking Suite(FIT Wholesale Rate - 2),suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double room King bed - Club Double room King bed - Club,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Premium PREMIUM ROOM MARINA VIEW TWIN Marina,room,premium,private bathroom,twin/twin-or-double,double,not club,,no balcony,harbour view,
Suite - Family Suite - Family,suite,,private bathroom,,,not club,,no balcony,,
Comfort Apartment,apartment,comfort,private bathroom,,,not club,,no balcony,,
One Bedroom Apartment 1 BR Apartment Twin,apartment,,private bathroom,twin/twin-or-double,double,not club,1 bedroom,no balcony,,
Family room - Connecting - Theme Park access Family room - Connecting - Theme Park access park,room,standard,private bathroom,,,not club,,no balcony,,
Deluxe Double/Double - De Luxe - Bay View Bay,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,bay view,
Classic Room Double Breakfast,room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Classic Classic double or twin room,room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Junior Suite King JUNIOR SUITE,1 KING BED (1 Double)",junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Guest GUEST ROOM WITH BALCONY - KING BED,room,standard,private bathroom,double/double-or-twin,double,not club,,balcony,,
"Club Room, Guest room, 2 Twin/Single Bed(s), Creek view Club Room, Guest room, 2 Twin/Single Bed(s), Creek view",room,standard,private bathroom,twin/twin-or-double,double,club,,no balcony,water view,
"Standard Room, 1 King Bed, Non Smoking (Fairmont Creek) Creek",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Grand Deluxe Grand Deluxe,room,deluxe,private bathroom,,,not club,,no balcony,,
"Basic Double Room, 1 Bedroom, Non Smoking, Balcony (1 Double Bed)",room,economy,private bathroom,double/double-or-twin,double,not club,1 bedroom,balcony,,
Premium Room Twin Bed,room,premium,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Triple Triple superior,room,superior,private bathroom,,triple,not club,,no balcony,,
Standard Room - Main Building,room,standard,private bathroom,,,not club,,no balcony,,
Standard King Size bed Rate with breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Suite Exclusive plus double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Superior Twin Room, Sea View",room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,sea view,
"2 Single Beds, Smoking Room, Premium Room, Flat Screen Television, Sofa, Wi-Fi, Air-Conditioned",room,premium,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Business (double) Double bed,room,business,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior Deluxe Suite with Hammam & Jacuzzi,suite,superior,private bathroom,,,not club,,no balcony,,
Double Room - Standard Double Room - Standard,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Single Room - With Breakfast Premium Sea View with Outdoor Jacuzzi-Bed & Breakfast-Refundable Rate,room,premium,private bathroom,,single,not club,,no balcony,sea view,
Deluxe DELUXE PRIVATE POOL TWIN,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
One Bedroom Pool Villa,villa,,private bathroom,,,not club,1 bedroom,no balcony,,
Superior room with 1 double bed,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe room with Jacuzzi,room,deluxe,private bathroom,,,not club,,no balcony,,
Double with shower (facilities on the floor) Basic rate with breakfast,room,standard,shared bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Twin/Double room - De Luxe - Sea View Sea,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
TRIPLE THREE BEDS,room,standard,private bathroom,,triple,not club,,no balcony,,
"Junior Suite, 1 king bed, Club access (1 King Bed)",junior-suite,,private bathroom,double/double-or-twin,double,club,,no balcony,,
Deluxe Twin/Double room - De Luxe,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Junior Suite JUNIOR SUITE SEA VIEW W/BALCONY Sea,junior-suite,,private bathroom,,,not club,,balcony,sea view,
"Deluxe Room, 1 King Bed (1 Double)",room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Plantation Luxury Pool Villa - Kumbuk,villa,luxury,private bathroom,,,not club,,no balcony,,
Suite - Family - Balcony Suite - Family - Balcony,suite,,private bathroom,,,not club,,balcony,,
Deluxe Deluxe - Sea view Sea,room,deluxe,private bathroom,,,not club,,no balcony,sea view,
Landmark King,room,standard,private bathroom,,,not club,,no balcony,,
"Suite, 2 Bedrooms",suite,,private bathroom,,,not club,2 bedrooms,no balcony,,
Classic Room (1 Twin Bed),room,classic,private bathroom,single bed,single,not club,,no balcony,,
"2 Single Beds with Sofabed, No Smoking 2 Single Beds with Sofabed, No Smoking",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
FAMILY DUPLEX,room,standard,private bathroom,,,not club,,no balcony,,duplex floor
Room,room,standard,private bathroom,,,not club,,no balcony,,
Superior Single Room Double(1 Amount),room,superior,private bathroom,double/double-or-twin,single,not club,,no balcony,,
Executive Suite,suite,executive,private bathroom,,,not club,,no balcony,,
Three-Bedroom Suite Half Board,suite,,private bathroom,,,not club,3 bedrooms,no balcony,,
Beach Front Villa with Private Pool,villa,,private bathroom,,,not club,,no balcony,beachfront,
Quadruple Room (2 Large Twin Beds and 1 Double Sofa Bed),room,standard,private bathroom,,quadruple,not club,,no balcony,,
Adjoining Deluxe,room,deluxe,private bathroom,,,not club,,no balcony,,
Executive Room (Single use) (2 Twin Beds),room,executive,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Standard for 5 people,room,standard,private bathroom,,,not club,,no balcony,,
Double room King bed - Swiss Executive - Corner - Garden Double room King bed - Swiss Executive - Corner - Garden garden,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard triple room double (Main Building),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Grand Grand Family Heritage Room, 2 King Beds or 1 King and 2 Queen Beds, Balcony",room,grand,private bathroom,twin/twin-or-double,quadruple,not club,,balcony,,
"Deluxe Suite, 1 King Bed, Smoking (Haram View) (1 King Bed)",suite,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
2 Twin Beds,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Double Room Standard Double Room (1 Double),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior Queen Room Superior Queen Room,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
TWIN ROOM SIDE SEA VIEW Half Board,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,partial-sea view,
Park Lane Two Queens,room,standard,private bathroom,,double,not club,,no balcony,,
Deluxe Deluxe Double,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
deluxe garden view twin,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,garden view,
"Junior 1 King Bed Suite, Ocean front Breakfast",junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,ocean front,
Quadruple Room Breakfast,room,standard,private bathroom,,quadruple,not club,,no balcony,,
Comfort King-size Best available rate with Breakfast and dinner,room,comfort,private bathroom,,,not club,,no balcony,,
Premium King Room with City View with 20% discount on F&B,room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Bunkbed Room (3+1) Double(1 Amount) Bunk(1 Amount),room,standard,private bathroom,bunk bed,double,not club,,no balcony,,
Standard quadruple apartment double,apartment,standard,private bathroom,double/double-or-twin,quadruple,not club,,no balcony,,
Standard 1 Double Standard Accessible,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Ocean View Pool Pavilion 3 Bedrooms Ground Floor - King bed,room,standard,private bathroom,double/double-or-twin,double,not club,3 bedrooms,no balcony,ocean view,basement floor
Deluxe Family Suite,suite,deluxe,private bathroom,,,not club,,no balcony,,
"prestige suit,1 cift kisilik yatak ve cekyat,sigara icilmez",suite,prestige,private bathroom,,,not club,,no balcony,,
Deluxe King Sea View(FIT Tour Operator - Wholesale 1),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Superior double or twin apartment double,apartment,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
LUXE SEA VIEW Half Board,room,standard,private bathroom,,,not club,,no balcony,sea view,
Treasury Balcony Room,room,standard,private bathroom,,,not club,,balcony,,
Economy apartment double,apartment,economy,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard Room No Window,room,standard,private bathroom,,,not club,,no balcony,,
Prestige Suite PRESTIGE SUITE BHOSPORUS VIEW,suite,prestige,private bathroom,,,not club,,no balcony,,
Superior room with 1 double bed double,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
ONE BEDROOM SUITE Full Board,suite,,private bathroom,,,not club,1 bedroom,no balcony,,
Standard Hillside with Terrace Bathtub,room,standard,private bathroom,,,not club,,no balcony,,
Premium Double Room,room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
4-person Economy Twin beds Room without a window,dorm,,shared bathroom,,,not club,,no balcony,,
"Standard Quadruple Room, Balcony",room,standard,private bathroom,,quadruple,not club,,balcony,,
Contemporary Villa,villa,,private bathroom,,,not club,,no balcony,,
Junior suite double or twin room double,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Suite - Majestic Suite - Majestic,suite,,private bathroom,,,not club,,no balcony,,
Spacious Room Double Half Board,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Room, 1 King Bed, City View, Corner (1 King Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
TWO QUEEN BED DELUXE ROOM WITH SOFA BED,room,deluxe,private bathroom,,double,not club,,no balcony,,
2-room superior apartment Teterinsky lane 14с2 double,apartment,superior,private bathroom,,double,not club,2 bedrooms,no balcony,,
Twin room - City side Twin room - City side city,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,city view,
Water Tower Rooms,room,standard,private bathroom,,,not club,,no balcony,,
"Two Bedroom Grand Suite Grand 2-bedroom Suite - Complimentary Luxury Transfers to Kite Beach and Mall of Emirates, 1 Twin Bed",suite,grand,private bathroom,single bed,single,not club,2 bedrooms,no balcony,,
Premium Double Room,room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Studio Comfort Non refundable with breakfast,studio,comfort,private bathroom,,,not club,,no balcony,,
Suite 2 bedrooms Breakfast,suite,,private bathroom,,,not club,2 bedrooms,no balcony,,
De Luxe Double bed Twin beds,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double Room - With Breakfast Comfort-Bed & Breakfast-Refundable Rate,room,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Frank,room,standard,private bathroom,,,not club,,no balcony,,
Standard superior room,room,superior,private bathroom,,,not club,,no balcony,,
Harmony Two-Bedroom Lagoon Pool Villa,villa,,private bathroom,,,not club,2 bedrooms,no balcony,bay view,
superior studio,studio,superior,private bathroom,,,not club,,no balcony,,
Premium Suite PREMIUM SUITE SEA VIEW Sea,suite,premium,private bathroom,,,not club,,no balcony,sea view,
Deluxe Junior Suite,junior-suite,deluxe,private bathroom,,,not club,,no balcony,,
Apartment 1 bedroom Apartment 1 bedroom,apartment,,private bathroom,,,not club,1 bedroom,no balcony,,
Domik bochka with sofa (facilities on site) double  in block,room,standard,shared bathroom,double/double-or-twin,double,not club,,no balcony,,
Apartments Comfort Basic rate without breakfast,apartment,comfort,private bathroom,,,not club,,no balcony,,
Superior Room with Three Single Beds Half Board,room,superior,private bathroom,single bed,,not club,,no balcony,,
sea view junior suite twin Breakfast,junior-suite,,private bathroom,twin/twin-or-double,double,not club,,no balcony,sea view,
Guest Room Breakfast,room,standard,private bathroom,,,not club,,no balcony,,
4-person Economy Twin beds,dorm,,shared bathroom,,,not club,,no balcony,,
Superior Apartment with terrace Best available rate with breakfast,apartment,superior,private bathroom,,,not club,,no balcony,,
Junior Suite(1 Double Bed),junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
KING GUEST ROOM WITH NILE VIEW,room,standard,private bathroom,,,not club,,no balcony,,
Deluxe Deluxe Quadruple Room,room,deluxe,private bathroom,,quadruple,not club,,no balcony,,
